Title,Type,Country,Genres,Director,Duration_Minutes,Seasons,IMDb_Rating,Release_Year,Date_Added
Lost Chronicles (2),Movie,United States,Comedy;Romance,Denis Villeneuve,95,,4.5,2014,December 2018
Rising Reckoning (3),TV Show,Mexico,Mystery,Deepak Kumar,,5,7.1,2020,April 2014
Lost Reckoning (4),Movie,United Kingdom,Crime,Greta Gerwig,137,,5.1,2000,June 2019
Final Waves (5),Movie,Canada,Family,Pedro Almodóvar,83,,7.2,2024,March 2014
Rising Chronicles (6),Movie,Germany,Action;Fantasy,Alejandro González Iñárritu,100,,6.1,2022,November 2021
Hidden Waves (7),Movie,Germany,Action,S. S. Rajamouli,118,,7.5,2000,April 2017
Shadow Tales (8),Movie,Nigeria,Reality-TV,Zoya Akhtar,117,,7.1,2002,May 2025
Final Pursuit (9),Movie,United Kingdom,Action;Animation,Pedro Almodóvar,127,,5.0,2006,November 2023
Hidden City (10),Movie,South Korea,Drama,Bong Joon-ho,118,,8.9,2025,April 2016
Rising Affair (11),Movie,France,Romance,Alfonso Cuarón,106,,6.8,2002,September 2013
Shadow Waves (12),Movie,Germany,Thriller,Denis Villeneuve,137,,5.6,2015,July 2011
Crimson of Varanasi (13),Movie,India,Romance;Horror,Hirokazu Koreeda,146,,8.2,2021,March 2016
Last of Delhi (14),Movie,India,Drama;Reality-TV,Neeraj Ghaywan,136,,9.2,2016,September 2015
Echo Highway (15),Movie,Germany,Crime,S. S. Rajamouli,105,,5.1,2012,October 2017
Last of Mumbai (16),Movie,India,Biography;Crime,Neeraj Ghaywan,141,,9.3,2010,April 2020
Rising Chronicles (17),Movie,South Korea,Documentary;Animation,S. S. Rajamouli,76,,7.7,2014,October 2013
Lost Chronicles (18),Movie,Canada,Reality-TV,Quentin Tarantino,83,,6.4,2007,March 2024
Neon Pursuit (19),TV Show,Nigeria,Biography,Various,,5,5.0,2021,March 2018
Lost Highway (20),Movie,United States,Romance;Crime,Pa. Ranjith,118,,8.0,2006,May 2025
Echo of Kerala (21),Movie,India,Drama;Reality-TV,Greta Gerwig,91,,9.5,2020,March 2024
Lost City (22),Movie,South Korea,Comedy,Hirokazu Koreeda,94,,4.7,2017,June 2014
Sunset of Goa (23),Movie,India,Reality-TV,Quentin Tarantino,101,,5.8,2021,February 2021
Final Highway (24),TV Show,South Korea,Mystery,Vetrimaaran,,3,4.6,2013,December 2020
Midnight Chronicles (25),TV Show,South Korea,Animation,Hirokazu Koreeda,,2,8.9,2012,August 2017
Secret Chronicles (26),Movie,France,Action,Anurag Kashyap,159,,6.5,2006,May 2012
Secret Reckoning (27),TV Show,Australia,Biography;Mystery,Jane Campion,,6,5.1,2000,May 2015
Shadow Waves (28),Movie,Australia,Documentary;Family,Unknown Director,115,,7.6,2013,September 2013
Midnight Chronicles (29),Movie,Brazil,Family,Denis Villeneuve,75,,9.2,2016,September 2016
Secret Pursuit (30),Movie,United States,Biography;Mystery,Karan Johar,113,,6.1,2016,July 2020
Lost Highway (31),Movie,Australia,Horror,Ramin Bahrani,123,,8.3,2021,March 2019
Sunset of Varanasi (32),Movie,India,Horror,Unknown Director,149,,7.8,2019,August 2024
Lost Odyssey (33),Movie,Canada,Biography,S. S. Rajamouli,111,,7.9,2016,October 2020
Midnight Chronicles (34),Movie,Mexico,Animation,Pa. Ranjith,93,,4.7,2000,August 2012
Final Tales (35),Movie,Spain,Sci-Fi;Horror,Gautham Menon,93,,8.0,2020,February 2023
Lost Odyssey (36),Movie,Mexico,Fantasy,Gautham Menon,90,,5.2,2014,August 2020
Final Reckoning (37),TV Show,France,Mystery;Fantasy,Alfonso Cuarón,,3,8.9,2023,August 2018
Neon Reckoning (38),TV Show,Spain,Biography;Action,Christopher Nolan,,8,8.1,2002,April 2018
Echo Highway (39),Movie,Germany,Action,Bong Joon-ho,94,,5.6,2022,July 2023
Crimson City (40),Movie,France,Mystery,Denis Villeneuve,124,,7.5,2024,December 2010
Final Affair (41),TV Show,Mexico,Drama;Documentary,David Fincher,,7,7.2,2013,December 2017
Crimson Odyssey (42),Movie,Australia,Horror,Greta Gerwig,160,,8.6,2021,December 2015
Final Reckoning (43),TV Show,United Kingdom,Reality-TV,Bong Joon-ho,,1,7.8,2002,March 2024
Crimson Dreams (44),Movie,Australia,Sci-Fi,Greta Gerwig,118,,9.0,2024,May 2023
Hidden City (45),Movie,United States,Documentary,Gautham Menon,158,,8.5,2002,November 2011
Midnight City (46),TV Show,Canada,Action,Rohit Shetty,,8,5.1,2021,April 2024
Secret Highway (47),Movie,Mexico,Animation,Various,95,,5.1,2009,January 2019
Crimson Tales (48),Movie,South Korea,Crime,Hirokazu Koreeda,155,,5.0,2007,May 2013
Shadow Dreams (49),TV Show,Brazil,Biography;Documentary,S. S. Rajamouli,,6,8.8,2000,August 2013
Hidden Highway (50),Movie,Japan,Thriller;Family,Taika Waititi,158,,7.6,2008,September 2025
Final Chronicles (51),Movie,Nigeria,Mystery;Action,Various,86,,9.0,2008,April 2024
Crimson Dreams (52),Movie,Spain,Sci-Fi,Greta Gerwig,98,,5.6,2015,May 2020
Neon Reckoning (53),Movie,Brazil,Fantasy,Pa. Ranjith,85,,8.2,2007,August 2017
Hidden Odyssey (54),Movie,Spain,Comedy,David Fincher,103,,8.0,2012,May 2021
Secret Affair (55),Movie,Germany,Documentary;Family,Alfonso Cuarón,109,,5.8,2009,February 2016
Lost Highway (56),Movie,Nigeria,Action,Fernando Meirelles,136,,8.2,2008,September 2019
Neon Tales (57),TV Show,Canada,Thriller;Romance,Anurag Kashyap,,3,4.7,2008,January 2019
Hidden Waves (58),Movie,United Kingdom,Crime,David Fincher,135,,6.7,2015,March 2011
Echo Waves (59),Movie,France,Sci-Fi;Comedy,Neeraj Ghaywan,155,,4.8,2021,March 2019
Echo Reckoning (60),Movie,Canada,Crime;Reality-TV,Unknown Director,154,,8.5,2007,July 2024
Final Affair (61),TV Show,Australia,Crime;Reality-TV,Zoya Akhtar,,2,5.6,2024,April 2018
Midnight Highway (62),Movie,United Kingdom,Thriller,Anurag Kashyap,127,,8.0,2014,August 2019
Neon Odyssey (63),Movie,Australia,Biography,Gautham Menon,108,,8.5,2025,October 2016
Midnight Highway (64),Movie,Germany,Mystery;Thriller,S. S. Rajamouli,82,,8.5,2005,October 2019
Neon Affair (65),Movie,France,Fantasy;Reality-TV,Pedro Almodóvar,131,,7.5,2002,July 2020
Echo of Bengaluru (66),Movie,India,Animation,Ramin Bahrani,109,,4.7,2018,March 2025
Neon Highway (67),Movie,France,Biography;Mystery,Pedro Almodóvar,86,,6.3,2015,June 2020
Secret Affair (68),Movie,United Kingdom,Romance;Biography,Bong Joon-ho,145,,6.8,2001,June 2018
Crimson Reckoning (69),Movie,Mexico,Biography,Jane Campion,134,,4.8,2013,September 2021
Hidden City (70),Movie,France,Romance,Jane Campion,91,,6.7,2009,December 2025
Final Tales (71),Movie,Spain,Romance,Jane Campion,76,,6.6,2017,April 2013
Rising Odyssey (72),Movie,United States,Fantasy;Family,Christopher Nolan,128,,9.5,2015,April 2024
Midnight Pursuit (73),Movie,South Korea,Mystery,S. S. Rajamouli,110,,8.5,2024,July 2020
Neon City (74),TV Show,Germany,Family;Romance,Various,,8,6.8,2004,August 2021
Lost Affair (75),Movie,Mexico,Reality-TV;Documentary,Pa. Ranjith,105,,6.5,2018,July 2011
Crimson Affair (76),Movie,France,Sci-Fi,Zoya Akhtar,91,,9.4,2016,June 2013
Echo Reckoning (77),TV Show,France,Drama;Family,Rohit Shetty,,7,9.4,2020,February 2025
Secret Pursuit (78),TV Show,Australia,Biography;Comedy,Greta Gerwig,,7,7.7,2010,August 2011
Neon Tales (79),Movie,Canada,Horror,Karan Johar,156,,9.0,2022,August 2015
Shadow of Goa (80),Movie,India,Romance,Quentin Tarantino,122,,5.2,2013,September 2023
Rising Highway (81),Movie,Mexico,Comedy,Rishab Shetty,123,,8.0,2019,August 2014
Neon Odyssey (82),Movie,Spain,Biography;Drama,Unknown Director,134,,8.0,2009,March 2012
Final Chronicles (83),Movie,Japan,Family;Romance,Alfonso Cuarón,113,,9.6,2006,August 2013
Secret Pursuit (84),Movie,Brazil,Family;Romance,Anurag Kashyap,159,,5.9,2012,October 2011
Hidden Chronicles (85),TV Show,Nigeria,Crime,Unknown Director,,6,7.7,2007,October 2018
Rising Waves (86),Movie,Nigeria,Romance,Unknown Director,131,,7.5,2001,December 2014
Secret Affair (87),Movie,Australia,Action,Rohit Shetty,144,,7.2,2011,May 2015
Neon Dreams (88),Movie,France,Sci-Fi,S. S. Rajamouli,93,,9.4,2024,November 2022
Lost Dreams (89),TV Show,Mexico,Animation,Bong Joon-ho,,1,7.2,2008,August 2021
Neon Pursuit (90),Movie,Spain,Mystery;Biography,Quentin Tarantino,88,,5.7,2021,January 2020
Echo Odyssey (91),TV Show,Canada,Biography;Horror,Karan Johar,,3,9.3,2001,May 2025
Lost Highway (92),Movie,Canada,Sci-Fi;Documentary,Ramin Bahrani,144,,7.5,2013,December 2014
Echo Odyssey (93),TV Show,Spain,Romance;Drama,Hirokazu Koreeda,,6,6.8,2006,April 2021
Secret Reckoning (94),Movie,Spain,Drama;Horror,Christopher Nolan,99,,9.3,2003,August 2012
Final City (95),Movie,Spain,Animation,Greta Gerwig,106,,8.5,2004,April 2012
Midnight Pursuit (96),TV Show,Germany,Mystery,Gautham Menon,,6,5.3,2024,October 2010
Rising Reckoning (97),Movie,United Kingdom,Animation;Thriller,Karan Johar,159,,5.2,2000,June 2017
Rising of Varanasi (98),Movie,India,Thriller,Fernando Meirelles,128,,5.1,2016,February 2025
Lost Pursuit (99),Movie,Japan,Sci-Fi,Taika Waititi,103,,4.7,2019,November 2019
Shadow of Punjab (100),Movie,India,Horror;Biography,Karan Johar,137,,9.1,2022,February 2012
Echo Highway (101),Movie,United Kingdom,Crime;Biography,Neeraj Ghaywan,145,,6.2,2022,October 2019
Crimson Waves (102),Movie,Brazil,Mystery,Deepak Kumar,158,,7.3,2024,April 2023
Crimson Dreams (103),Movie,Canada,Horror;Reality-TV,Fernando Meirelles,87,,6.7,2010,November 2018
Hidden Waves (104),Movie,United Kingdom,Mystery,S. S. Rajamouli,86,,5.0,2013,December 2021
Shadow Pursuit (105),TV Show,Germany,Biography;Comedy,Denis Villeneuve,,6,9.3,2021,July 2011
Neon Dreams (106),TV Show,Brazil,Crime,Taika Waititi,,4,7.8,2004,April 2013
Secret Waves (107),Movie,Germany,Crime;Action,Unknown Director,129,,9.5,2017,October 2010
Neon City (108),Movie,Spain,Romance,Hirokazu Koreeda,114,,6.3,2010,March 2014
Echo Highway (109),Movie,South Korea,Comedy,Fernando Meirelles,142,,6.4,2006,August 2020
Secret Pursuit (110),Movie,Australia,Reality-TV,Zoya Akhtar,94,,8.3,2005,January 2012
Crimson Odyssey (111),Movie,Spain,Horror;Romance,Pa. Ranjith,140,,6.3,2003,February 2019
Hidden Reckoning (112),Movie,Brazil,Drama;Action,Bong Joon-ho,151,,4.5,2001,May 2016
Neon Chronicles (113),TV Show,Mexico,Comedy;Drama,Pedro Almodóvar,,7,5.2,2005,September 2017
Secret Waves (114),Movie,Spain,Mystery;Family,Zoya Akhtar,130,,6.8,2000,February 2020
Crimson Affair (115),Movie,Brazil,Comedy;Horror,Anurag Kashyap,116,,8.6,2005,October 2024
Echo Affair (116),TV Show,Japan,Action,Denis Villeneuve,,7,4.9,2016,May 2020
Rising Waves (117),Movie,Mexico,Fantasy,Taika Waititi,99,,6.3,2024,December 2014
Neon Tales (118),Movie,United Kingdom,Crime,Rohit Shetty,158,,5.4,2002,November 2025
Final Odyssey (119),Movie,Brazil,Mystery;Biography,Greta Gerwig,94,,4.8,2014,August 2019
Shadow Dreams (120),TV Show,Brazil,Romance,Alfonso Cuarón,,8,4.8,2001,May 2012
Final Pursuit (121),Movie,United States,Sci-Fi;Crime,Jane Campion,80,,9.1,2014,October 2016
Lost Highway (122),Movie,France,Sci-Fi,Karan Johar,118,,4.9,2022,November 2015
Hidden Odyssey (123),Movie,Nigeria,Documentary,Quentin Tarantino,111,,6.6,2012,June 2011
Secret Waves (124),TV Show,Spain,Comedy;Fantasy,Ramin Bahrani,,7,5.8,2009,November 2014
Rising Dreams (125),Movie,Brazil,Biography;Family,Ramin Bahrani,125,,7.5,2004,February 2019
Secret Highway (126),Movie,Spain,Biography,Ramin Bahrani,129,,6.3,2016,June 2019
Secret Odyssey (127),Movie,Canada,Action,Rohit Shetty,94,,6.0,2002,February 2011
Final Highway (128),Movie,Mexico,Thriller;Reality-TV,Vetrimaaran,154,,9.1,2025,December 2024
Midnight Odyssey (129),Movie,Japan,Animation;Family,Unknown Director,132,,7.2,2007,May 2025
Secret Pursuit (130),TV Show,Canada,Sci-Fi;Animation,David Fincher,,7,7.2,2016,March 2016
Neon City (131),TV Show,United Kingdom,Mystery;Documentary,Jane Campion,,2,8.8,2022,February 2019
Neon Odyssey (132),Movie,United Kingdom,Mystery,Denis Villeneuve,86,,8.7,2007,June 2010
Lost Dreams (133),Movie,South Korea,Horror,S. S. Rajamouli,122,,4.6,2007,February 2020
Shadow Chronicles (134),TV Show,United Kingdom,Family;Mystery,Rohit Shetty,,8,7.6,2014,February 2010
Lost Pursuit (135),Movie,United Kingdom,Comedy;Animation,David Fincher,105,,5.1,2009,April 2023
Hidden Waves (136),Movie,Brazil,Mystery,Pedro Almodóvar,151,,4.6,2017,September 2017
Crimson City (137),TV Show,Australia,Action;Crime,Denis Villeneuve,,3,7.9,2021,September 2021
Lost Reckoning (138),Movie,Germany,Horror,Pedro Almodóvar,80,,6.5,2020,June 2018
Echo Dreams (139),TV Show,Japan,Family,Ramin Bahrani,,2,7.5,2024,June 2014
Secret Highway (140),Movie,Germany,Family;Sci-Fi,Deepak Kumar,98,,5.2,2025,December 2024
Shadow Tales (141),Movie,Canada,Documentary,David Fincher,140,,9.5,2012,September 2025
Midnight Chronicles (142),Movie,Mexico,Mystery;Animation,Zoya Akhtar,158,,5.9,2010,June 2023
Hidden Affair (143),TV Show,Nigeria,Thriller;Sci-Fi,Hirokazu Koreeda,,8,9.2,2011,September 2018
Crimson Waves (144),TV Show,Nigeria,Crime;Mystery,Vetrimaaran,,5,5.0,2010,June 2019
Crimson Highway (145),Movie,Brazil,Documentary;Sci-Fi,Zoya Akhtar,120,,9.6,2019,May 2011
Crimson Dreams (146),Movie,Spain,Drama,Rohit Shetty,152,,8.5,2021,January 2014
Secret Dreams (147),Movie,Mexico,Crime;Drama,Rishab Shetty,94,,6.8,2021,June 2021
Final Highway (148),Movie,United States,Horror;Documentary,Deepak Kumar,110,,9.4,2007,January 2015
Lost Waves (149),Movie,South Korea,Animation;Romance,Hirokazu Koreeda,132,,9.6,2006,May 2025
Echo Odyssey (150),Movie,United Kingdom,Reality-TV,Hirokazu Koreeda,131,,8.6,2002,June 2021
Lost Chronicles (151),TV Show,Germany,Mystery;Thriller,Hirokazu Koreeda,,3,6.3,2025,April 2013
Rising Tales (152),TV Show,Mexico,Drama;Documentary,Jane Campion,,6,8.6,2014,September 2014
Echo Chronicles (153),Movie,United States,Family;Reality-TV,Pedro Almodóvar,142,,8.4,2013,October 2012
Echo Odyssey (154),Movie,Japan,Biography;Fantasy,Quentin Tarantino,91,,7.3,2024,October 2015
Crimson Reckoning (155),TV Show,United Kingdom,Mystery,Karan Johar,,3,5.3,2009,June 2017
Neon Waves (156),Movie,Germany,Action;Biography,Jane Campion,110,,7.7,2004,October 2012
Final Pursuit (157),Movie,United Kingdom,Thriller,Ramin Bahrani,154,,9.1,2023,June 2011
Echo of Delhi (158),TV Show,India,Biography;Action,Alejandro González Iñárritu,,7,7.8,2019,August 2019
Hidden Tales (159),Movie,Australia,Romance;Sci-Fi,S. S. Rajamouli,82,,6.7,2005,August 2024
